event_id,category_id,user_id,user_name,user_past_event,review_id,rating,date,text
1334,3,1,Maya Putri,"5, 6",1334531,5,6/23/2022,"Fasilitas OK, petugas ramah, kebersihan baik, seruuu banget, pengen kesana lagi deh..."
3168,1,15,Arif Kurniawan,"3, 1",31685115,5,5/31/2022,liburan yang sangat menyenangkan
1333,3,115,Dewi Septiani,"6, 3",133353115,5,5/28/2022,seneng bangett udh lama ga ke dufan
1647,6,137,Dina Pratama,"4, 4",164756137,5,5/3/2022,Dufan bagus sih buat yang mau refreshing. Semoga wahananya terus awet dan semakin banyak wahana baru
1638,6,142,Siti Rahayu,"6, 3",163856142,5,5/2/2022,Dari proses pembelian tiket sampai masuk ke wahana sangat mudah 😎. Terima kasih traveloka
1334,3,56,Desi Putri,"1, 3",13345356,5,4/30/2022,menyenangkan healing bersama-sama 🙏
1643,6,10,Dina Susanto,"4, 5",16435610,5,7/13/2023,"Sat set sat set beli di traveloka lebih gampang gk pake antri tinggal masuk aja nunjukin barcode vouchernya. Ada diskonnya juga. Fasilitas di dalam juga ok, bikin anak2 senang"
1639,6,88,Fajar Hadiwijaya,"2, 6",16395688,5,7/3/2023,anak-anak happy
1418,4,122,Maya Setiawan,"2, 3",141854122,5,6/12/2023,Bagus 👍 Seru 😊 terutama ketika bisa pegang bintang laut 🤗 tp hrs di dlm air yah😉
1644,6,106,Budi Hidayat,"2, 6",164456106,5,1/24/2023,banyak pengetahuan untuk balita
113,1,16,Siti Utami,"1, 2",1135116,5,11/24/2022,menambah pengetahuan anak saya
1530,5,131,Dian Purnama,"3, 5",153055131,5,8/24/2022,tempatnya nyaman bersih. ramai pengunjung
1530,5,142,Siti Rahayu,"6, 3",153055142,5,7/4/2022,"luar biasa kereeen, stafnya ramah sekali. untuk para pengunjung yukkk jaga kebersihannya"
1649,6,36,Arif Susanto,"3, 5",16495636,5,7/3/2022,tempatnya recommended untuk liburan keluarga
1334,3,121,Wahyu Saputra,"6, 3",133443121,4,6/3/2022,senang disini... bisa sambil olah raga
122,2,66,Agus Wijaya,"5, 3",1224266,4,4/4/2023,Penukaran tiket dari traveloka berjalan lancar dangan sangat mudah. Benar2 mempersingkat waktu dan harga lebih murah daripada OTS
1639,6,165,Agus Pratama,"6, 2",163946165,4,9/11/2022,asik tapi kalo pergi weekend rame bgt
1212,2,40,Joko Sari,"5, 6",12124240,4,5/6/2022,"seharusnya menyenangkan, tetapi saat di sana ternyata banyak atraksi permainan yg tidak beroperasi karena rusak. semoga kedepannya lebih baik lg dalam perawatan"
1313,3,151,Maya Hidayat,"2, 3",131343151,4,11/2/2023,karena week and terlalu banyak orang sehingga tidak maksimal untuk melihat pertunjukan nya. tapi untuk bermain anak-anak lumayan ya. karena banyak pengetahuan yang di dapat tentang kehidupan di bawah laut.
3356,3,133,Dewi Sari,"6, 5",335643133,4,6/28/2022,"so far so good, terima kasih untuk ilmu dan pengalaman yg dibagikan untuk menjadi sebuah pembelajaran dan kenangan tersendiri bersama keluarga."
111,1,172,Dian Kurniawan,"1, 2",11141172,4,6/27/2022,pengalaman pertama ke seaworld buat anak-anaknya adik ipar mereka senang dan katanya pengen balik ke sini lagi
1519,5,167,Fandi Hermawan,"3, 1",151935167,3,7/17/2023,"harga naik boogie kemahalan. penunjuk arah kurang jelas,dan keterangan redeem tiket online kurang,akhirnya harus mengantri di tiket langsung dan terakhir baru dikasihtau kalau antri tiket online bukan disitu, dan kena bukan hanya saya tapi ada beberapa tamu yang kena. semoga pelayanan dan informasi lebih jelas terutama disaat high season atau holiday. Terimakasih 🙏 sukses selalu GWK da"
3170,1,90,Dina Saputra,"1, 2",31703190,3,6/14/2022,"harga tiket terlalu mahal, kurang bervariasi untuk wisatanya"
3659,6,83,Sinta Nurhayati,"5, 5",36593683,3,12/13/2022,Staff bahkan ga tau gimana cara tukar vouchernya. Ini staff di pintu masuk utama loh! Dufan kotor dan belum terawat (efek pandemi) Hari Senin aja antriannya ampuuun …!
3168,1,179,Andi Susanto,"1, 6",316831179,3,12/3/2023,"Aplikasi mudah dan simple, harga relatif saja, hampir sama dgn aplikasi lain sejenis, not bad lah untuk refrensi pernandingan harga, kurang promo promonya, kadang masih suka bug sistem"
113,1,141,Bambang Santoso,"5, 3",11331141,3,9/23/2023,Sabar dulu
3455,4,141,Bambang Santoso,"5, 3",345524141,2,8/23/2022,sudah terlalu lama kurang kebersihannya
1332,3,176,Ani Hartono,"2, 3",133223176,2,5/7/2023,terlihat sekali sudah kuno
1111,1,191,Rudi Hermawan,"5, 6",111121191,2,4/22/2023,Lemot
1641,6,70,Fandi Hadiwijaya,"1, 4",16412670,2,4/16/2023,Bismillah
111,1,60,Rudi Septiani,"6, 2",1112160,2,12/4/2022,Indodananya lagi bokek sekarang ini.
1114,1,77,Desi Wijaya,"3, 1",11142177,2,10/6/2021,Bagus
1422,4,55,Joko Sari,"6, 6",14222455,2,9/3/2021,Videonya macet2 saat live
3167,1,116,Fandi Hartono,"2, 1",316721116,2,10/3/2023,Udah aktif lama tp iklan di aplikasi lain dan terlalu sering dan otomatis aktif sendiri
111,1,91,Bambang Wijaya,"1, 2",1112191,2,7/21/2023,Traveloka Lagi Error' apa gimana ya Saya buka Fitur Paylatter kok ga bisa bisa ya Tolong di Respon
1553,5,187,Bambang Saputra,"3, 1",155315187,1,11/20/2023,"Sangat kecewa, pesan kamar hotel di oyo. Sudah dibayar tp giliran mau check-in katanya kamarnya penuh. Mau refund jg gk bs. Jadi uang hangus. Padahal pesen 4 kamar.. Gitu amat ya cara nyari duitnya"
119,1,64,Fajar Utami,"5, 2",1191164,1,11/15/2023,Awas jebakan dari Paylater nya Traveloka kawan!!! Kalau tidak mau kecewa jangan coba coba pakai jasa Payater Traveloka. Jangan sampai kalian kirim foto KTP dan foto diri kalian ke Traveloka. Karena pasti Mereka Seenak jidat menolak dan menghilangkan fitur Paylater di Traveloka kita Setelah bolak balik suruh perbaiki dan kirim data pribadi. Dan hapus data pribadi saya yg sudah terlanjur saya kirim ke Traveloka ! Saya laporkan polisi jika data saya disalahgunankan!
1529,5,138,Joko Hermawan,"4, 1",152915138,1,11/8/2023,"Tolong untuk traveloka khususnya traveloka paylater tolong untuk tidak membocorkan informasi pribadi khususnya data customer no handphone pribadi kepada pihak manapun,,baru saya ajukan pinjaman untuk menginap dan saya pun belum menginap periode bayar pun belum lewat sudah ditelepon oleh puluhan no yang tidak jelas,,harusnya data konsumen sudah dijamin oleh ojk agar tidak disebarluaskan,,untuk yang mau pakai traveloka paylater harap dipikir ulang kalau tidak mau di telpon no yang tidak jelas."
122,2,11,Arif Sari,"5, 2",1221211,1,9/14/2023,"aneh, apk nya ga bisa dijalankan, dan selalu ada keterangan hlaman yg anda lihat mungkin bukan versi terbaru. padahal udh di update"
1647,6,110,Fajar Wijaya,"3, 6",164716110,1,9/18/2023,"Aplikasi tdk bisa dibuka, hanya gambar burung diam aja tdk bergerak. Semakin kesini malah makin kesana. Perbaiki dong"
1636,6,43,Lina Putri,"1, 6",16361643,1,9/29/2023,"Menyambungkan terus setelag update, tidak bisa dibuka, fix uninstal"
116,1,178,Dewi Hidayat,"3, 2",11611178,1,10/10/2023,"Habis di update malah ndak bisa cari tiket,, baru te keluar sendiri kayak mana ni min"
3659,6,89,Hadi Wijaya,"6, 4",36591689,1,11/17/2023,3 hari lalu berhasil booking bus untuk perjalanan jkt - solo next akhir bulan.. Tapi kenapa hari ini mau booking bus untuk perjalanan yang lain tidak bisa? Tidak timbul sama sekali rincian daftar list bus nya
1641,6,1,Maya Putri,"5, 6",1641161,1,10/3/2023,"Gak jelas banget nih APK ! saya mau menghadiri sebuah event dan di event tersebut maksimal hanya boleh membeli 1 tiket. Pas saya mau beli karena tiket udah ready malah nggak bisa, ada pemberitahuan ""anda sudah mencapai batas maksimum pembelian"", lah kata saya, orang saya belum sama sekali beli..tiketnya juga baru muncul, KAN ANEH BIN AJAIB"
3657,6,63,Desi Putri,"2, 5",36571663,1,8/6/2023,Aplikasi penipuan.. saya pesan hotel... Uang saya udah kepotong... Tp d tiketcom malah tdk d proses... Auto uninstall
3165,1,46,Dian Wijaya,"2, 2",31651146,1,5/22/2023,Gajelas
1422,4,65,Siti Pratama,"5, 6",14221465,1,4/21/2023,Blipay Tiba tiba hilang tidak ada di aplikasi padahal uangnya masih😢😢
1427,4,65,Siti Pratama,"5, 6",14271465,1,4/2/2023,"servernya tlong diperbaiki dulu. masa mau war tiket konser suga, tidak masuk2 ke server dan berujung kehabisan. 30mnt an baru bs masuk server dlm keadaan tiket sdh habis dipesan, itupun masih kdg2 biss kdg2 enggak. huft sdh biaya platformnya mahal tp server jelek bgt. pffftttt."
